name,publisher,issn,h_index,keywords,subject_area,open_access,apc_usd,openalex_id,works_count,is_oa,is_in_doaj
Asian Journal of Control,Wiley,1561-8625,71,"adaptive control of nonlinear systems,stability and control of uncertain systems,neural networks stability and synchronization,advanced control systems optimization,distributed control multi-agent systems",Adaptive Control of Nonlinear Systems,false,2580,https://openalex.org/S103568991,4588,false,false
Annals of the American Thoracic Society,American Thoracic Society,2325-6621,134,"chronic obstructive pulmonary disease (copd) research,respiratory support and mechanisms,interstitial lung diseases and idiopathic pulmonary fibrosis,asthma and respiratory diseases,obstructive sleep apnea research",Chronic Obstructive Pulmonary Disease (COPD) Research,false,0,https://openalex.org/S4210233309,4570,false,false
Quantitative Imaging in Medicine and Surgery,AME Publishing Company,2223-4292,64,"radiomics and machine learning in medical imaging,advanced mri techniques and applications,medical imaging techniques and applications,advanced x-ray and ct imaging,cardiac imaging and diagnostics",Radiomics and Machine Learning in Medical Imaging,true,0,https://openalex.org/S2764457454,4568,true,false
China Medicine and Pharmacy,China Medicine and Pharmacy,,3,"medical research and treatments,traditional chinese medicine studies,neurological disease mechanisms and treatments,pharmacological effects of natural compounds,traditional chinese medicine analysis",Medical Research and Treatments,false,0,https://openalex.org/S2764707663,4561,false,false
Journal of the Royal Statistical Society Series C (Applied Statistics),Oxford University Press,0035-9254,191,"advanced statistical methods and models,statistical methods and bayesian inference,statistical methods and inference,bayesian methods and mixture models,statistical methods in clinical trials",Advanced Statistical Methods and Models,false,0,https://openalex.org/S2764642956,4529,false,false
International Journal of Control Automation and Systems,Springer Science+Business Media,1598-6446,77,"adaptive control of nonlinear systems,stability and control of uncertain systems,neural networks stability and synchronization,distributed control multi-agent systems,fault detection and control systems",Adaptive Control of Nonlinear Systems,false,0,https://openalex.org/S4398839,4527,false,false
Algorithms,Multidisciplinary Digital Publishing Institute,1999-4893,72,"metaheuristic optimization algorithms research,advanced multi-objective optimization algorithms,vehicle routing optimization methods,algorithms and data compression,advanced neural network applications",Metaheuristic Optimization Algorithms Research,true,1400,https://openalex.org/S190629608,4523,true,true
日本物理学会春季分科会講演予稿集,日本物理学会春季分科会講演予稿集,,0,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,diverse scientific and economic studies,solid-state spectroscopy and crystallography",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306551205,4514,false,false
Powder Diffraction,Cambridge University Press,0885-7156,70,"x-ray diffraction in crystallography,diverse scientific and economic studies,crystallography and molecular interactions,human auditory perception and evaluation,x-ray spectroscopy and fluorescence analysis",X-ray Diffraction in Crystallography,false,0,https://openalex.org/S197027301,4501,false,false
The Journal of the Institute of Television Engineers of Japan,The Institute of Image Information and Television Engineers,0386-6831,12,"military technology and strategies,legal and regulatory analysis,linguistic, cultural, and literary studies,multimedia communication and technology,telecommunications and broadcasting technologies",Military Technology and Strategies,false,0,https://openalex.org/S2764579564,4479,false,false
日本児童文学,日本児童文学,,0,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,medical image segmentation techniques,neuroscience and neuropharmacology research",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550429,4469,false,false
The Annals of Clinical and Analytical Medicine,The Annals of Clinical and Analytical Medicine,2667-663X,15,"cardiac, anesthesia and surgical outcomes,orthopedic surgery and rehabilitation,congenital diaphragmatic hernia studies,anesthesia and pain management,shoulder injury and treatment","Cardiac, Anesthesia and Surgical Outcomes",true,0,https://openalex.org/S4210235416,4461,true,false
Bulletin of Surveying and Mapping,SinoMaps Press,,10,"remote sensing and land use,advanced computational techniques and applications,simulation and modeling applications,geographic information systems studies,inertial sensor and navigation",Remote Sensing and Land Use,false,0,https://openalex.org/S2764397123,4460,false,false
科学朝日,科学朝日,,1,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,face and expression recognition,hiv research and treatment",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306556277,4458,false,false
Fundamenta Informaticae,IOS Press,0169-2968,82,"logic, reasoning, and knowledge,formal methods in verification,logic, programming, and type systems,rough sets and fuzzy logic,semigroups and automata theory","Logic, Reasoning, and Knowledge",false,0,https://openalex.org/S39012697,4453,false,false
X-Ray Spectrometry,Wiley,0049-8246,68,"x-ray spectroscopy and fluorescence analysis,electron and x-ray spectroscopy techniques,nuclear physics and applications,cultural heritage materials analysis,x-ray diffraction in crystallography",X-ray Spectroscopy and Fluorescence Analysis,false,3760,https://openalex.org/S10907757,4450,false,false
JMIR Formative Research,JMIR Formative Research,2561-326X,53,"mobile health and mhealth applications,digital mental health interventions,telemedicine and telehealth implementation,health literacy and information accessibility,covid-19 and mental health",Mobile Health and mHealth Applications,true,1900,https://openalex.org/S4210234749,4448,true,true
Journal of clinical and experimental medicine,Beijing Tiantan Hospital,2521-0084,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,traditional chinese medicine studies,medical research and treatments",Legal and Regulatory Analysis,false,0,https://openalex.org/S2764592323,4442,false,false
ホルモンと臨床,ホルモンと臨床,,2,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,radiopharmaceutical chemistry and applications,medical imaging and pathology studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306557285,4425,false,false
日本医事新報,日本医事新報,,1,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,urban and spatial planning,human auditory perception and evaluation",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550479,4415,false,false
Journal of Biomedical Informatics,Elsevier BV,1532-0464,168,"biomedical text mining and ontologies,topic modeling,machine learning in healthcare,electronic health records systems,semantic web and ontologies",Biomedical Text Mining and Ontologies,false,2980,https://openalex.org/S11622463,4414,false,false
SMPTE Motion Imaging Journal,SMPTE Motion Imaging Journal,1545-0279,23,"telecommunications and broadcasting technologies,multimedia communication and technology,human auditory perception and evaluation,video coding and compression technologies,advanced mimo systems optimization",Telecommunications and Broadcasting Technologies,false,0,https://openalex.org/S4210177699,4412,false,false
企業診断,企業診断,,0,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,pharmacy and medical practices,cultural and historical studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306543356,4412,false,false
Journal of Oncology,Hindawi Publishing Corporation,1687-8450,91,"cancer-related molecular mechanisms research,rna modifications and cancer,microrna in disease regulation,ferroptosis and cancer prognosis,lung cancer treatments and mutations",Cancer-related molecular mechanisms research,false,2100,https://openalex.org/S207014961,4396,false,false
Journal of Fluids and Structures,Elsevier BV,0889-9746,142,"fluid dynamics and vibration analysis,vibration and dynamic analysis,wind and air flow studies,fluid dynamics and turbulent flows,fluid dynamics simulations and interactions",Fluid Dynamics and Vibration Analysis,false,3570,https://openalex.org/S160220869,4393,false,false
AMIA,AMIA,,7,"electronic health records systems,biomedical text mining and ontologies,semantic web and ontologies,artificial intelligence in healthcare,machine learning in healthcare",Electronic Health Records Systems,false,0,https://openalex.org/S4306501626,4392,false,false
Bioinformation,Biomedical Informatics,0973-2063,56,"computational drug discovery methods,dental implant techniques and outcomes,genomics and phylogenetic studies,dental materials and restorations,rna and protein synthesis mechanisms",Computational Drug Discovery Methods,false,0,https://openalex.org/S2755911950,4386,false,false
Numerical Algorithms,Springer Science+Business Media,1017-1398,93,"matrix theory and algorithms,advanced optimization algorithms research,numerical methods for differential equations,iterative methods for nonlinear equations,advanced numerical methods in computational mathematics",Matrix Theory and Algorithms,false,2390,https://openalex.org/S117494069,4381,false,false
Advances in X-ray Analysis,International Centre for Diffraction Data,0376-0308,43,"x-ray spectroscopy and fluorescence analysis,x-ray diffraction in crystallography,nuclear physics and applications,electron and x-ray spectroscopy techniques,advanced x-ray and ct imaging",X-ray Spectroscopy and Fluorescence Analysis,false,0,https://openalex.org/S2764582555,4365,false,false
Controlled Clinical Trials,Elsevier BV,0197-2456,127,"statistical methods in clinical trials,health systems, economic evaluations, quality of life,meta-analysis and systematic reviews,advanced causal inference techniques,ethics in clinical research",Statistical Methods in Clinical Trials,false,0,https://openalex.org/S84962792,4364,false,false
Journal of Visual Communication and Image Representation,Elsevier BV,1047-3203,114,"advanced image and video retrieval techniques,advanced vision and imaging,advanced image processing techniques,video surveillance and tracking methods,image enhancement techniques",Advanced Image and Video Retrieval Techniques,false,2150,https://openalex.org/S105424869,4338,false,false
Mathematical Biosciences & Engineering,Arizona State University,1547-1063,78,"mathematical and theoretical epidemiology and ecology models,covid-19 epidemiological studies,evolution and genetic dynamics,mathematical biology tumor growth,gene regulatory network analysis",Mathematical and Theoretical Epidemiology and Ecology Models,true,1000,https://openalex.org/S113214489,4338,true,true
Discover Oncology,Springer Nature,2730-6011,31,"ferroptosis and cancer prognosis,rna modifications and cancer,cancer-related molecular mechanisms research,cancer immunotherapy and biomarkers,microrna in disease regulation",Ferroptosis and cancer prognosis,true,990,https://openalex.org/S4210213696,4332,true,true
Society for Historical Archaeology,Springer Nature,,4,"historical and cultural archaeology studies,maritime and coastal archaeology,american environmental and regional history,archaeology and natural history,archaeology and ancient environmental studies",Historical and Cultural Archaeology Studies,false,0,https://openalex.org/S2764963158,4329,false,false
Haigan,The Japan Lung Cancer Society,0386-9628,15,"lung cancer diagnosis and treatment,lung cancer treatments and mutations,medical imaging and pathology studies,lung cancer research studies,cancer diagnosis and treatment",Lung Cancer Diagnosis and Treatment,true,0,https://openalex.org/S2764878546,4328,true,false
EURASIP Journal on Advances in Signal Processing,Springer Science+Business Media,1687-6172,118,"speech and audio processing,advanced wireless communication techniques,blind source separation techniques,advanced adaptive filtering techniques,image and signal denoising methods",Speech and Audio Processing,true,1140,https://openalex.org/S35920007,4323,true,true
電子情報通信学会技術研究報告,電子情報通信学会技術研究報告,,5,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,wireless communication networks research,semiconductor materials and devices",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306559705,4321,false,false
Journal of Practical Medical Techniques,Chinese Medical Association,,4,"medical research and treatments,traditional chinese medicine studies,healthcare and venom research,medical imaging and analysis,radiomics and machine learning in medical imaging",Medical Research and Treatments,false,0,https://openalex.org/S2764829507,4307,false,false
Nonlinear Analysis Real World Applications,Elsevier BV,1468-1218,109,"mathematical and theoretical epidemiology and ecology models,advanced mathematical modeling in engineering,advanced mathematical physics problems,navier-stokes equation solutions,evolution and genetic dynamics",Mathematical and Theoretical Epidemiology and Ecology Models,false,3800,https://openalex.org/S114104845,4295,false,false
Cytometry Part A,Wiley,1552-4922,123,"single-cell and spatial transcriptomics,cell image analysis techniques,advanced fluorescence microscopy techniques,t-cell and b-cell immunology,immune cell function and interaction",Single-cell and spatial transcriptomics,false,3350,https://openalex.org/S86468533,4295,false,false
Instruments and Experimental Techniques,Pleiades Publishing,0020-4412,41,"radiation detection and scintillator technologies,nuclear physics and applications,laser design and applications,pulsed power technology applications,gyrotron and vacuum electronics research",Radiation Detection and Scintillator Technologies,false,0,https://openalex.org/S40976917,4288,false,false
JATI (Jurnal Mahasiswa Teknik Informatika),JATI (Jurnal Mahasiswa Teknik Informatika),2598-828X,15,"edcuational technology systems,multimedia learning systems,data mining and machine learning applications,decision support system applications,computer science and engineering",Edcuational Technology Systems,true,0,https://openalex.org/S4210239397,4287,true,false
Materials Horizons,Royal Society of Chemistry,2051-6347,170,"advanced sensor and energy harvesting materials,conducting polymers and applications,perovskite materials and applications,advanced materials and mechanics,luminescence and fluorescent materials",Advanced Sensor and Energy Harvesting Materials,false,0,https://openalex.org/S2764386229,4284,false,false
IEEE Control Systems,Institute of Electrical and Electronics Engineers,1066-033X,165,"human auditory perception and evaluation,diverse scientific and economic studies,educational robotics and engineering,advanced control systems optimization,fault detection and control systems",Human auditory perception and evaluation,false,0,https://openalex.org/S20265620,4276,false,false
Biological Cybernetics,Springer Science+Business Media,0340-1200,201,"neural dynamics and brain function,visual perception and processing mechanisms,neural networks and applications,muscle activation and electromyography studies,motor control and adaptation",Neural dynamics and brain function,false,2790,https://openalex.org/S87357125,4272,false,false
International Journal of Computer Sciences and Engineering,ISROSET,2347-2693,29,"internet of things and ai,artificial intelligence in healthcare,network security and intrusion detection,iot and edge/fog computing,iot-based smart home systems",Internet of Things and AI,false,0,https://openalex.org/S4210169770,4269,false,false
Journal of medical imaging,SPIE,,3,"radiomics and machine learning in medical imaging,mri in cancer diagnosis,advanced mri techniques and applications,advanced x-ray and ct imaging,medical imaging and analysis",Radiomics and Machine Learning in Medical Imaging,false,0,https://openalex.org/S2765007747,4264,false,false
"ISPRS annals of the photogrammetry, remote sensing and spatial information sciences",Copernicus Publications,2194-9042,61,"remote sensing and lidar applications,3d surveying and cultural heritage,robotics and sensor-based localization,remote sensing in agriculture,3d modeling in geospatial applications",Remote Sensing and LiDAR Applications,true,0,https://openalex.org/S2737735205,4262,true,true
International Journal of Orthopaedics Sciences,Orthopaedic Surgeon And Practitioner's Society,2395-1958,13,"bone fractures and treatments,orthopedic surgery and rehabilitation,hip and femur fractures,shoulder injury and treatment,orthopaedic implants and arthroplasty",Bone fractures and treatments,true,0,https://openalex.org/S2764466093,4261,true,false
BMC Medical Informatics and Decision Making,BioMed Central,1472-6947,141,"electronic health records systems,biomedical text mining and ontologies,machine learning in healthcare,mobile health and mhealth applications,patient-provider communication in healthcare",Electronic Health Records Systems,true,1570,https://openalex.org/S107516304,4260,true,true
Strahlentherapie und Onkologie,Springer Science+Business Media,0179-7158,89,"advanced radiotherapy techniques,head and neck cancer studies,lung cancer diagnosis and treatment,brain metastases and treatment,glioma diagnosis and treatment",Advanced Radiotherapy Techniques,false,3290,https://openalex.org/S28603624,4260,false,false
IEEE Transactions on Systems Man and Cybernetics,Institute of Electrical and Electronics Engineers,0018-9472,225,"neural networks and applications,systems engineering methodologies and applications,computability, logic, ai algorithms,ai-based problem solving and planning,cognitive computing and networks",Neural Networks and Applications,false,0,https://openalex.org/S76152103,4255,false,false
Acta Radiologica Diagnosis,SAGE Publishing,0567-8056,60,"diverse scientific and economic studies,human auditory perception and evaluation,medical imaging techniques and applications,renal and vascular pathologies,cerebrovascular and carotid artery diseases",Diverse Scientific and Economic Studies,false,0,https://openalex.org/S2754651993,4245,false,false
Journal of Student Research,rScroll,2167-1907,13,"covid-19 pandemic impacts,covid-19 and mental health,sports analytics and performance,computational drug discovery methods,impact of technology on adolescents",COVID-19 Pandemic Impacts,true,0,https://openalex.org/S2765069361,4245,true,false
Advanced Engineering Informatics,Elsevier BV,1474-0346,141,"manufacturing process and optimization,infrastructure maintenance and monitoring,bim and construction integration,machine fault diagnosis techniques,fault detection and control systems",Manufacturing Process and Optimization,false,3570,https://openalex.org/S112141509,4234,false,false
Zhonghua shenjing waike zazhi,Chinese Medical Association,1001-2346,5,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,intracranial aneurysms: treatment and complications,glioma diagnosis and treatment",Legal and Regulatory Analysis,false,0,https://openalex.org/S2764833511,4224,false,false
Microscopy Today,Oxford University Press,1551-9295,34,"electron and x-ray spectroscopy techniques,diverse scientific and economic studies,human auditory perception and evaluation,advanced electron microscopy techniques and applications,legal case studies and regulations",Electron and X-Ray Spectroscopy Techniques,false,3255,https://openalex.org/S74408252,4224,false,false
Creative Education Studies,Creative Education Studies,2331-799X,6,"educational reforms and innovations,medical research and treatments,innovative educational techniques,ideological and political education,regional development and environment",Educational Reforms and Innovations,false,0,https://openalex.org/S2764428800,4206,false,false
Advances in Applied Mathematics,Advances in Applied Mathematics,2324-7991,7,"medical research and treatments,regional development and environment,differential equations and numerical methods,educational reforms and innovations,mathematical and theoretical epidemiology and ecology models",Medical Research and Treatments,false,0,https://openalex.org/S4210191542,4203,false,false
Psychometrika,Springer Science+Business Media,0033-3123,223,"advanced statistical methods and models,psychometric methodologies and testing,statistical methods and bayesian inference,advanced statistical modeling techniques,sensory analysis and statistical methods",Advanced Statistical Methods and Models,false,2190,https://openalex.org/S186480540,4198,false,false
"International journal of advance research, ideas and innovations in technology",IJARIT Research Foundation,2454-132X,18,"iot-based smart home systems,iot and gps-based vehicle safety systems,iot and edge/fog computing,network security and intrusion detection,vehicle license plate recognition",IoT-based Smart Home Systems,false,0,https://openalex.org/S2764833235,4198,false,false
Computer Vision and Image Understanding,Elsevier BV,1077-3142,172,"advanced vision and imaging,advanced image and video retrieval techniques,video surveillance and tracking methods,human pose and action recognition,robotics and sensor-based localization",Advanced Vision and Imaging,false,2370,https://openalex.org/S185008460,4191,false,false
Journal of the Chinese Institute of Engineers,Taylor & Francis,2158-7299,46,"human auditory perception and evaluation,diverse scientific and economic studies,educational robotics and engineering,stability and control of uncertain systems,geotechnical engineering and underground structures",Human auditory perception and evaluation,false,0,https://openalex.org/S4210198372,4191,false,false
Acta Cytologica,Karger Publishers,0001-5547,76,"cervical cancer and hpv research,salivary gland tumors diagnosis and treatment,cancer and skin lesions,breast lesions and carcinomas,thyroid cancer diagnosis and treatment",Cervical Cancer and HPV Research,false,0,https://openalex.org/S101987544,4174,false,false
Journal of Geodesy,Springer Science+Business Media,0949-7714,140,"geophysics and gravity measurements,gnss positioning and interference,ionosphere and magnetosphere dynamics,geomagnetism and paleomagnetism studies,inertial sensor and navigation",Geophysics and Gravity Measurements,false,2590,https://openalex.org/S4210204015,4166,false,false
Information Fusion,Elsevier BV,1566-2535,210,"advanced image fusion techniques,multi-criteria decision making,remote-sensing image classification,target tracking and data fusion in sensor networks,anomaly detection techniques and applications",Advanced Image Fusion Techniques,false,4650,https://openalex.org/S7560371,4158,false,false
Guangdian gongcheng,Chinese Academy of Sciences,1003-501X,16,"optical systems and laser technology,advanced measurement and detection methods,infrared target detection methodologies,image processing techniques and applications,advanced measurement and metrology techniques",Optical Systems and Laser Technology,false,0,https://openalex.org/S2764943736,4122,false,false
International Journal of Pattern Recognition and Artificial Intelligence,World Scientific,0218-0014,81,"image retrieval and classification techniques,advanced image and video retrieval techniques,face and expression recognition,handwritten text recognition techniques,medical image segmentation techniques",Image Retrieval and Classification Techniques,false,0,https://openalex.org/S41486457,4113,false,false
Journal of Healthcare Engineering,Hindawi Publishing Corporation,2040-2295,88,"advanced technologies in various fields,radiomics and machine learning in medical imaging,ai in cancer detection,artificial intelligence in healthcare,covid-19 diagnosis using ai",Advanced Technologies in Various Fields,false,2100,https://openalex.org/S36625193,4112,false,false
Veterinary Radiology & Ultrasound,Wiley,1058-8183,84,"veterinary oncology research,veterinary equine medical research,veterinary orthopedics and neurology,veterinary medicine and surgery,cardiovascular conditions and treatments",Veterinary Oncology Research,false,4000,https://openalex.org/S203482206,4105,false,false
International Journal of Intelligent Systems,Wiley,0884-8173,132,"multi-criteria decision making,rough sets and fuzzy logic,fuzzy systems and optimization,fuzzy logic and control systems,optimization and mathematical programming",Multi-Criteria Decision Making,false,2500,https://openalex.org/S57950554,4068,false,false
Thoracic Cancer,Wiley,1759-7706,68,"lung cancer treatments and mutations,lung cancer diagnosis and treatment,lung cancer research studies,cancer immunotherapy and biomarkers,esophageal cancer research and treatment",Lung Cancer Treatments and Mutations,true,2000,https://openalex.org/S37904752,4059,true,true
Journal of Combinatorial Theory Series B,Elsevier BV,0095-8956,137,"advanced graph theory research,limits and structures in graph theory,graph theory and cdma systems,graph theory and applications,graph labeling and dimension problems",Advanced Graph Theory Research,false,3420,https://openalex.org/S2939117604,4053,false,false
Books  | UK Encyclopedia of Law,Books  | UK Encyclopedia of Law,,32,"conflict of laws and jurisdiction,legal principles and applications,legal education and practice innovations,comparative and international law studies,european and international law studies",Conflict of Laws and Jurisdiction,false,0,https://openalex.org/S4306504868,4038,false,false
Chinese Journal of General Practice,ScienceOpen,,4,"medical research and treatments,traditional chinese medicine studies,neurological disease mechanisms and treatments,pediatric health and respiratory diseases,cardiovascular health and risk factors",Medical Research and Treatments,false,0,https://openalex.org/S2764736581,4034,false,false
Jurnal Teknik ITS,Lembaga Penelitian dan Pengabdian kepada Masyarakat (LP2M),2301-9271,27,"engineering and technology innovations,management and optimization techniques,coastal management and development,geotechnical and construction materials studies,urban transport systems analysis",Engineering and Technology Innovations,true,0,https://openalex.org/S2738286576,4033,true,true
BMC Medical Research Methodology,BioMed Central,1471-2288,218,"meta-analysis and systematic reviews,health systems, economic evaluations, quality of life,statistical methods in clinical trials,advanced causal inference techniques,statistical methods and bayesian inference",Meta-analysis and systematic reviews,true,1790,https://openalex.org/S185874209,4030,true,true
Fractals,World Scientific,0218-348X,84,"fractional differential equations solutions,mathematical dynamics and fractals,complex systems and time series analysis,theoretical and computational physics,chaos control and synchronization",Fractional Differential Equations Solutions,false,0,https://openalex.org/S204703277,4001,false,false
Cehui kexue,Chinese Academy of Surveying and Mapping,1009-2307,10,"advanced computational techniques and applications,remote sensing and land use,simulation and modeling applications,geographic information systems studies,advanced measurement and detection methods",Advanced Computational Techniques and Applications,false,0,https://openalex.org/S2764395898,3992,false,false
Médecine Nucléaire,Elsevier BV,0928-1258,11,"medical imaging techniques and applications,medical imaging and pathology studies,radiopharmaceutical chemistry and applications,thyroid cancer diagnosis and treatment,radiomics and machine learning in medical imaging",Medical Imaging Techniques and Applications,false,2100,https://openalex.org/S102011834,3991,false,false
Radiation Oncology,BioMed Central,1748-717X,115,"advanced radiotherapy techniques,radiation therapy and dosimetry,lung cancer diagnosis and treatment,medical imaging techniques and applications,head and neck cancer studies",Advanced Radiotherapy Techniques,true,1990,https://openalex.org/S42123126,3985,true,true
Journal of Computer and System Sciences,Elsevier BV,0022-0000,190,"semigroups and automata theory,complexity and algorithms in graphs,algorithms and data compression,advanced graph theory research,computability, logic, ai algorithms",semigroups and automata theory,false,2520,https://openalex.org/S141020589,3983,false,false
Video Engineering,McGraw-Hill,,5,"advanced algorithms and applications,multimedia communication and technology,embedded systems and fpga design,advanced measurement and detection methods,simulation and modeling applications",Advanced Algorithms and Applications,false,0,https://openalex.org/S2764946761,3977,false,false
Turkish Journal of Computer and Mathematics Education (TURCOMAT),Turkish Journal of Computer and Mathematics Education (TURCOMAT),,23,"iot-based smart home systems,technology-enhanced education studies,artificial intelligence in healthcare,network security and intrusion detection,iot and edge/fog computing",IoT-based Smart Home Systems,false,0,https://openalex.org/S4306533463,3975,false,false
International Journal of Approximate Reasoning,Elsevier BV,0888-613X,133,"rough sets and fuzzy logic,bayesian modeling and causal inference,multi-criteria decision making,logic, reasoning, and knowledge,fuzzy logic and control systems",Rough Sets and Fuzzy Logic,false,2960,https://openalex.org/S33368595,3966,false,false
日本建築学会論文報告集,日本建築学会論文報告集,,4,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,structural behavior of reinforced concrete,earthquake and disaster impact studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550821,3923,false,false
Machine Learning,Springer Science+Business Media,0885-6125,260,"machine learning and algorithms,machine learning and data classification,neural networks and applications,data mining algorithms and applications,bayesian modeling and causal inference",Machine Learning and Algorithms,false,2390,https://openalex.org/S62148650,3922,false,false
Medical Image Analysis,Elsevier BV,1361-8415,213,"medical image segmentation techniques,ai in cancer detection,radiomics and machine learning in medical imaging,advanced mri techniques and applications,medical imaging techniques and applications",Medical Image Segmentation Techniques,false,3970,https://openalex.org/S116571295,3909,false,false
IEEE Transactions on Broadcasting,Institute of Electrical and Electronics Engineers,0018-9316,98,"telecommunications and broadcasting technologies,advanced wireless communication techniques,image and video quality assessment,video coding and compression technologies,multimedia communication and technology",Telecommunications and Broadcasting Technologies,false,0,https://openalex.org/S100142436,3907,false,false
Journal of Diabetes Science and Technology,SAGE Publishing,1932-2968,122,"diabetes management and research,hyperglycemia and glycemic control in critically ill and hospitalized patients,diabetes and associated disorders,pancreatic function and diabetes,diabetes treatment and management",Diabetes Management and Research,false,0,https://openalex.org/S2754852731,3903,false,false
Zhonghua chaosheng yingxiangxue zazhi,Chinese Medical Association,1004-4477,5,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,ultrasound and hyperthermia applications,cardiac imaging and diagnostics",Legal and Regulatory Analysis,false,0,https://openalex.org/S2764582408,3896,false,false
IEEE Signal Processing Magazine,Institute of Electrical and Electronics Engineers,1053-5888,254,"diverse scientific and economic studies,human auditory perception and evaluation,neural networks and applications,blind source separation techniques,image and signal denoising methods",Diverse Scientific and Economic Studies,false,0,https://openalex.org/S120977877,3891,false,false
Geomatics & Spatial Information Technology,Geomatics & Spatial Information Technology,,7,"advanced computational techniques and applications,remote sensing and land use,simulation and modeling applications,geographic information systems studies,geological modeling and analysis",Advanced Computational Techniques and Applications,false,0,https://openalex.org/S4306511335,3890,false,false
Optics and Photonics News,Optica Publishing Group,1047-6938,64,"photonic and optical devices,semiconductor lasers and optical devices,optical network technologies,advanced fiber laser technologies,laser design and applications",Photonic and Optical Devices,false,0,https://openalex.org/S121524942,3887,false,false
Cytopathology,Wiley,0956-5507,67,"cervical cancer and hpv research,salivary gland tumors diagnosis and treatment,thyroid cancer diagnosis and treatment,cancer and skin lesions,breast lesions and carcinomas",Cervical Cancer and HPV Research,false,3550,https://openalex.org/S86895130,3886,false,false
Nuclear Instruments and Methods in Physics Research,Elsevier BV,0167-5087,90,"nuclear physics and applications,radiation detection and scintillator technologies,ion-surface interactions and analysis,x-ray spectroscopy and fluorescence analysis,electron and x-ray spectroscopy techniques",Nuclear Physics and Applications,false,0,https://openalex.org/S4210179064,3881,false,false
International Journal of Surgical Pathology,SAGE Publishing,1066-8969,65,"sarcoma diagnosis and treatment,cancer and skin lesions,soft tissue tumor case studies,urologic and reproductive health conditions,breast lesions and carcinomas",Sarcoma Diagnosis and Treatment,false,0,https://openalex.org/S121892090,3879,false,false
Journal of cardiovascular computed tomography,Elsevier BV,1876-861X,80,"cardiac imaging and diagnostics,advanced x-ray and ct imaging,radiation dose and imaging,coronary interventions and diagnostics,cardiac valve diseases and treatments",Cardiac Imaging and Diagnostics,false,3340,https://openalex.org/S331060,3875,false,false
The Kitakanto Medical Journal,Gunma University,1343-2826,8,"linguistic, cultural, and literary studies,legal and regulatory analysis,military technology and strategies,lung cancer treatments and mutations,health and wellbeing research","Linguistic, Cultural, and Literary Studies",true,0,https://openalex.org/S130854260,3873,true,false
Fractal and Fractional,Multidisciplinary Digital Publishing Institute,2504-3110,56,"fractional differential equations solutions,nonlinear differential equations analysis,differential equations and numerical methods,advanced control systems design,nonlinear waves and solitons",Fractional Differential Equations Solutions,true,1600,https://openalex.org/S4210227020,3873,true,true
Protein and Peptide Letters,Bentham Science Publishers,0929-8665,73,"protein structure and dynamics,chemical synthesis and analysis,enzyme structure and function,machine learning in bioinformatics,antimicrobial peptides and activities",Protein Structure and Dynamics,false,0,https://openalex.org/S3577691,3871,false,false
Chinese Journal of Liquid Crystals and Displays,Science Press,1007-2780,11,"liquid crystal research advancements,advanced measurement and detection methods,legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies",Liquid Crystal Research Advancements,false,0,https://openalex.org/S2764785651,3864,false,false
SIAM Journal on Computing,Society for Industrial and Applied Mathematics,0097-5397,236,"complexity and algorithms in graphs,advanced graph theory research,optimization and search problems,algorithms and data compression,computational geometry and mesh generation",Complexity and Algorithms in Graphs,false,0,https://openalex.org/S153560523,3860,false,false
肿瘤研究与临床,肿瘤研究与临床,,3,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,medical research and treatments,cancer mechanisms and therapy",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306557225,3850,false,false
月刊薬事,月刊薬事,,1,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,pharmacy and medical practices,diverse scientific and economic studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306552174,3847,false,false
Journal of Process Control,Elsevier BV,0959-1524,144,"advanced control systems optimization,fault detection and control systems,control systems and identification,process optimization and integration,advanced control systems design",Advanced Control Systems Optimization,false,3520,https://openalex.org/S96000363,3841,false,false
